Month,Vehicles,PartsOrders,RegServices,RevVehicles,RevParts,RevServices,RevenueTotal,COGS,GrossProfit,GrossMargin%,Marketing,Salaries,RentShowroom,PlatformOps,OpexTotal,EBITDA,CumEBITDA
1,5,3,2,288000,6000,5592,299592,236216,63376,21.2,35000,90000,25000,15000,165000,-101624,-101624
2,7,4,2,403200,8000,5592,416792,329476,87316,20.9,41000,90000,25000,15000,171000,-83684,-185309
3,8,5,2,460800,10000,5592,476392,376656,99736,20.9,44000,90000,25000,15000,174000,-74264,-259573
4,10,6,3,576000,12000,8388,596388,471175,125213,21.0,50000,90000,25000,15000,180000,-54787,-314360
5,11,7,3,633600,14000,8388,655988,518355,137633,21.0,53000,90000,25000,15000,183000,-45367,-359726
6,13,8,4,748800,16000,11184,775984,612873,163111,21.0,59000,90000,25000,15000,189000,-25889,-385615
7,14,8,4,806400,16000,11184,833584,658953,174631,20.9,62000,160000,25000,15000,262000,-87369,-472984
8,16,10,5,921600,20000,13980,955580,754571,201009,21.0,68000,160000,25000,15000,268000,-66991,-539975
9,17,10,5,979200,20000,13980,1013180,800651,212529,21.0,71000,160000,25000,15000,271000,-58471,-598446
10,19,11,6,1094400,22000,16776,1133176,895169,238007,21.0,77000,160000,25000,15000,277000,-38993,-637439
11,20,12,6,1152000,24000,16776,1192776,942349,250427,21.0,80000,160000,25000,15000,280000,-29573,-667012
12,22,13,7,1267200,26000,19572,1312772,1036867,275905,21.0,86000,160000,25000,15000,286000,-10095,-677108
13,23,14,7,1324800,28000,19572,1372372,1084047,288325,21.0,89000,160000,45000,22000,316000,-27675,-704783
14,25,15,8,1440000,30000,22368,1492368,1178566,313802,21.0,95000,160000,45000,22000,322000,-8198,-712981
15,26,16,8,1497600,32000,22368,1551968,1225746,326222,21.0,98000,160000,45000,22000,325000,1222,-711758
16,28,17,8,1612800,34000,22368,1669168,1319006,350162,21.0,104000,160000,45000,22000,331000,19162,-692596
17,29,17,9,1670400,34000,25164,1729564,1366344,363220,21.0,107000,160000,45000,22000,334000,29220,-663376
18,31,19,9,1785600,38000,25164,1848764,1460704,388060,21.0,113000,160000,45000,22000,340000,48060,-615316
19,32,19,10,1843200,38000,27960,1909160,1508042,401118,21.0,116000,230000,45000,22000,413000,-11882,-627198
20,34,20,10,1958400,40000,27960,2026360,1601302,425058,21.0,122000,230000,45000,22000,419000,6058,-621140
21,35,21,10,2016000,42000,27960,2085960,1648482,437478,21.0,125000,230000,45000,22000,422000,15478,-605662
22,37,22,11,2131200,44000,30756,2205956,1743000,462956,21.0,131000,230000,45000,22000,428000,34956,-570706
23,38,23,11,2188800,46000,30756,2265556,1790180,475376,21.0,134000,230000,45000,22000,431000,44376,-526330
24,40,24,12,2304000,48000,33552,2385552,1884698,500854,21.0,140000,230000,45000,22000,437000,63854,-462476
